"ID","type","name","address","city","state","zip","lon","lat","score","locName","status","matchAddr","side","addressType","elevation","elev_units"
64,"UCCE","Shasta/Trinity UCCE","1851 Hartnell Avenue","Redding","CA",96002,-122.336883,40.56368853,100,"World","M","1851 Hartnell Ave, Redding, California, 96002","R","PointAddress",159.91,"meters"
65,"UCCE","Siskiyou UCCE","1655 South Main Street","Yreka","CA",96097,-122.6430676,41.70727422,100,"World","M","1655 S Main St, Yreka, California, 96097","L","PointAddress",824.44,"meters"
66,"UCCE","Solano UCCE","501 Texas Street","Fairfield","CA",94533,-122.0392448,38.24915322,100,"World","M","501 Texas St, Fairfield, California, 94533","R","StreetAddress",4.01,"meters"
67,"UCCE","Sonoma UCCE","133 Aviation Boulevard","Santa Rosa","CA",95403,-122.7811579,38.50892156,100,"World","M","133 Aviation Blvd, Santa Rosa, California, 95403","R","PointAddress",39.77,"meters"
68,"UCCE","Stanislaus UCCE","3800 Cornucopia Way","Modesto","CA",95358,-120.9905265,37.58140295,100,"World","M","3800 Cornucopia Way, Modesto, California, 95358","R","StreetAddress",24.98,"meters"
69,"UCCE","Sutter/Yuba UCCE","142-A Garden Highway","Yuba City","CA",95991,-121.6069933,39.12910094,99.98,"World","M","142 Garden Hwy, Yuba City, California, 95991","R","PointAddress",18.41,"meters"
70,"UCCE","Tehama UCCE","1754 Walnut Street","Red Bluff","CA",96080,-122.2526231,40.16989366,100,"World","M","1754 Walnut St, Red Bluff, California, 96080","L","StreetAddress",97.64,"meters"
71,"UCCE","Trinity UCCE","260 Oregon St.","Weaverville","CA",96093,-122.9444966,40.72924133,100,"World","M","260 Oregon St, Weaverville, California, 96093","L","PointAddress",643.81,"meters"
72,"UCCE","Tulare UCCE","4437-B S. Laspina Street","Tulare","CA",93274,-119.3282909,36.16635949,98.6,"World","M","4437 S Laspina St, Tulare, California, 93274","L","PointAddress",83.99,"meters"
73,"UCCE","Tuolumne UCCE","2 South Green Street","Sonora","CA",95370,-120.3837004,37.98505097,100,"World","M","2 S Green St, Sonora, California, 95370","R","StreetAddress",553.66,"meters"
74,"UCCE","Ventura UCCE","669 County Square Drive","Ventura","CA",93003,-119.2151742,34.2696462,100,"World","M","669 County Square Dr, Ventura, California, 93003","L","PointAddress",69.97,"meters"
75,"UCCE","Yolo UCCE","70 Cottonwood Street","Woodland","CA",95695,-121.7932177,38.68293553,100,"World","M","70 Cottonwood St, Woodland, California, 95695","L","PointAddress",21.58,"meters"
